id,zh,en
slogan_1,如果是你，你会选择金钱还是荣誉？,"If it were you, would you choose money or honor?"
slogan_2,游戏属于每一个人。,The game belongs to everyone.
slogan_3,如果你想要得到爱，你就播种爱。,"If you want love, you sow love."
slogan_4,作为自然法则，死亡是每一个人人生的最终归宿。,"As a law of nature, everyone will end up dead."
slogan_5,光阴似箭。,tempus fugit.
slogan_6,快乐？伤心？痛苦？,Happy? Sad? Pain?
slogan_7,在图像和音乐中酝酿感情。,Brewing emotions in images and music.
slogan_8,罪与罚。,crime and punishment.
slogan_9,高桥李依！,Rie Takahashi!
slogan_10,0001 0011 0001 0101 0100 1111 0100,0001 0011 0001 0101 0100 1111 0100
slogan_11,恋愛偏差値上昇中！-P丸様｡,恋愛偏差値上昇中！-P丸様｡
slogan_12,kaWaYi!,kaWaYi!
